,Ticker,Prediction
0,AAPL,-14.712821512947384
1,AAPL,-14.712821512947384
2,AAPL,-14.849862844196181
3,ABCP,-14.120967846746204
4,ABEO,-14.849862844196181
5,ABL,-15.719168358168817
6,ABL,-15.719168358168817
7,ABL,-15.719168358168817
8,ABL,-15.719168358168817
9,ABM,-14.712821512947384
10,ABNB,-14.712821512947384
11,ABNB,-14.712821512947384
12,ABNB,-14.712821512947384
13,ABNB,-14.712821512947384
14,ABNB,-14.712821512947384
15,ABNB,-14.712821512947384
16,ABSI,-15.009567862071629
17,ABSI,-15.009567862071629
18,ABSI,-15.009567862071629
19,ABSI,-15.009567862071629
20,ACCD,-14.712821512947384
21,ACCD,-14.712821512947384
22,ACCD,-14.712821512947384
23,ACEL,-15.719168358168817
24,ACEL,-14.849862844196181
25,ACEL,-15.719168358168817
26,ACEL,-14.849862844196181
27,ACEL,-15.719168358168817
28,ACEL,-14.712821512947384
29,ACET,-14.849862844196181
30,ACI,-14.849862844196181
31,ACLS,-15.009567862071629
32,ACMR,-14.712821512947384
33,ACMR,-14.712821512947384
34,ACN,-14.712821512947384
35,ACN,-14.712821512947384
36,ACN,-14.712821512947384
37,ACN,-14.712821512947384
38,ACN,-14.712821512947384
39,ACR,-13.027851963777819
40,ACR,-13.027851963777819
41,ACVA,-14.712821512947384
42,ADBE,-15.719168358168817
43,ADBE,-14.849862844196181
44,ADBE,-15.719168358168817
45,ADBE,-14.849862844196181
46,ADBE,-15.719168358168817
47,ADBE,-14.849862844196181
48,ADBE,-15.719168358168817
49,ADBE,-14.849862844196181
50,ADBE,-15.719168358168817
51,ADBE,-14.849862844196181
52,ADBE,-15.719168358168817
53,ADBE,-14.849862844196181
54,ADBE,-15.719168358168817
55,ADBE,-14.849862844196181
56,ADBE,-15.719168358168817
57,ADBE,-14.849862844196181
58,ADBE,-14.712821512947384
59,AEHR,-14.849862844196181
60,AEHR,-14.849862844196181
61,AEHR,-14.849862844196181
62,AEHR,-13.027851963777819
63,AEHR,-14.849862844196181
64,AEHR,-14.849862844196181
65,AEHR,-14.849862844196181
66,AEHR,-14.849862844196181
67,AEHR,-14.849862844196181
68,AEHR,-14.849862844196181
69,AEHR,-14.712821512947384
70,AEO,-14.712821512947384
71,AEO,-14.712821512947384
72,AESI,-14.712821512947384
73,AESI,-14.712821512947384
74,AGTI,-15.009567862071629
75,AGX,-14.712821512947384
76,AGX,-13.027851963777819
77,AHCO,-14.849862844196181
78,AHCO,-14.849862844196181
79,AHCO,-14.849862844196181
80,AIP,-14.712821512947384
81,AIR,-14.712821512947384
82,AIR,-14.712821512947384
83,AIR,-14.712821512947384
84,AIR,-14.712821512947384
85,AIR,-15.009567862071629
86,AIR,-14.712821512947384
87,AIR,-14.712821512947384
88,AIR,-14.712821512947384
89,AIR,-14.712821512947384
90,AIR,-14.712821512947384
91,ALLO,-15.009567862071629
92,ALOT,-14.04776646502172
93,ALTR,-15.719168358168817
94,ALTR,-14.712821512947384
95,ALTR,-14.712821512947384
96,ALTR,-14.712821512947384
97,ALTR,-15.719168358168817
98,ALTR,-14.712821512947384
99,ALTR,-14.712821512947384
100,ALTR,-14.712821512947384
101,ALTR,-15.719168358168817
102,ALTR,-14.712821512947384
103,ALTR,-14.712821512947384
104,ALTR,-14.712821512947384
105,AM,-15.009567862071629
106,AM,-15.009567862071629
107,AM,-15.009567862071629
108,AM,-15.009567862071629
109,AM,-15.009567862071629
110,AM,-15.009567862071629
111,AM,-15.009567862071629
112,AMKR,-15.719168358168817
113,AMKR,-15.719168358168817
114,AMKR,-15.719168358168817
115,AMPX,-15.21041577722085
116,AMPX,-14.712821512947384
117,AMPX,-15.21041577722085
118,AMPX,-14.712821512947384
119,AMPX,-15.21041577722085
120,AMPX,-14.712821512947384
121,ANET,-14.712821512947384
122,ANET,-14.712821512947384
123,ANET,-14.712821512947384
124,ANET,-14.712821512947384
125,ANET,-14.712821512947384
126,ANET,-14.712821512947384
127,ANET,-14.712821512947384
128,ANET,-14.712821512947384
129,ANET,-14.712821512947384
130,ANF,-14.712821512947384
131,ANF,-14.712821512947384
132,ANF,-14.712821512947384
133,ANF,-14.849862844196181
134,ANF,-15.719168358168817
135,ANF,-14.849862844196181
136,ANIP,-14.712821512947384
137,ANIP,-14.712821512947384
138,ANIX,-14.712821512947384
139,ANSS,-14.712821512947384
140,ANSS,-14.712821512947384
141,ANSS,-14.712821512947384
142,ANSS,-14.712821512947384
143,ANSS,-14.712821512947384
144,ANSS,-14.712821512947384
145,ANSS,-14.712821512947384
146,ANSS,-14.712821512947384
147,ANSS,-14.712821512947384
148,APA,-15.719168358168817
149,APA,-15.719168358168817
150,APLD,-14.04776646502172
151,APLS,-14.712821512947384
152,APLS,-14.712821512947384
153,APP,-15.009567862071629
154,APP,-15.009567862071629
155,APP,-15.009567862071629
156,APPS,-14.849862844196181
157,APPS,-14.712821512947384
158,APPS,-14.849862844196181
159,APPS,-14.712821512947384
160,APPS,-14.849862844196181
161,APPS,-14.712821512947384
162,APPS,-14.849862844196181
163,APRN,-18.011733263957904
164,APRN,-14.712821512947384
165,AR,-15.009567862071629
166,AR,-15.009567862071629
167,AR,-15.009567862071629
168,AR,-15.009567862071629
169,AR,-15.009567862071629
170,AR,-15.009567862071629
171,AR,-15.009567862071629
172,AR,-14.849862844196181
173,AR,-14.849862844196181
174,AR,-14.849862844196181
175,AR,-14.849862844196181
176,ARCH,-14.849862844196181
177,ARCH,-14.849862844196181
178,ARCH,-14.849862844196181
179,ARCH,-14.849862844196181
