,Date,PricePerShare,Shares,movement_since_trade,TransactionCode_A,TransactionCode_C,TransactionCode_D,TransactionCode_F,TransactionCode_G,TransactionCode_I,TransactionCode_J,TransactionCode_L,TransactionCode_M,TransactionCode_O,TransactionCode_P,TransactionCode_S,TransactionCode_W,TransactionCode_X,AcquiredDisposedCode_A,AcquiredDisposedCode_D
0,0.00020828993959591752,0.002262,2.6052507095553456e-07,0.17625444462052772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.00020828993959591752,0.0022218000000000003,3.062913907284768e-10,0.1779895156054308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0.00020828993959591752,0.0,6.563386944181646e-07,0.17060374536947984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,0.00020828993959591752,0.0005432000000000001,3.047540208136235e-07,0.18124473291561358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0.00020828993959591752,0.00011933600000000001,1.6425023651844844e-06,0.13104528986739572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.00020828993959591752,0.00011268200000000002,2.4834437086092716e-06,0.13990459935591815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6,0.00020828993959591752,0.000105856,8.409413434247871e-07,0.14438824830435684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,0.00020828993959591752,8.737000000000001e-05,3.0237701040681173e-06,0.17873516199579928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,0.00020828993959591752,8.1922e-05,1.943117313150426e-06,0.19121277486832264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,0.00020828993959591752,0.0,0.00017657367549668874,0.16895698633761233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10,0.00020828993959591752,0.0,5.4749526963103125e-05,0.16895698633761233,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0.0,0.00019920000000000004,1.4191106906338694e-06,0.127945775794717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,0.0,0.00023300000000000003,1.3008514664143804e-06,0.127945775794717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.0006248698187877526,0.00019586800000000003,1.7738883632923368e-06,0.14906387567788063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,0.0006248698187877526,0.0004316,1.7738883632923367e-07,0.16020383785200085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15,0.0006248698187877526,0.0005516,5.321665089877011e-07,0.16020383785200085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,0.0006248698187877526,0.0013222000000000002,7.095553453169347e-07,0.16020383785200085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,0.0006248698187877526,0.0012034,5.912961210974456e-08,0.17257682216883902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,0.0006248698187877526,0.0,4.403263954588458e-06,0.18924289335229888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,0.0006248698187877526,0.0013126,2.0271464049195837e-06,0.13923742308494455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,0.0006248698187877526,0.001152982,1.0253074739829708e-06,0.1577988945413012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,0.0006248698187877526,0.0011632,9.34035004730369e-06,0.15717325122439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,0.0006248698187877526,0.0,6.622516556291391e-07,0.18392874641818646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23,0.0008331597583836701,0.0034324000000000004,3.057000946073794e-06,0.19184110432388868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,0.0008331597583836701,0.0034446,3.889072847682119e-06,0.19184110432388868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
