,Ticker,Date,Followers,pct_change,pct_change_week,pct_change_daily
0,NYT,2023-09-20,55045549,0.019374983351472003,0.008426459365828,-0.001362489420042
1,MANU,2023-09-20,36907444,0.448117811838644,0.08212129133589001,0.014898943269825
2,GOOGL,2023-09-20,30579013,0.9925396866758971,0.25533149029803903,0.038200908315988005
3,GOOG,2023-09-20,30578641,0.988439381191442,0.25216605775031403,0.03051753340082
4,TSLA,2023-09-20,20951750,0.7937991253560871,0.205914323877487,0.025235762943087003
5,META,2023-09-20,13943394,0.35284800287425105,0.09823607239489701,-0.0008247565229100001
6,MSFT,2023-09-20,13430270,0.9458048428358851,0.253584964026254,0.018342533520177
7,SPOT,2023-09-20,12787327,4.60836878272251,1.08221686201457,0.129514336117276
8,DIS,2023-09-20,10371428,0.19295839985378202,0.053734095141955006,0.0022851763119550003
9,AAPL,2023-09-20,9566108,1.45252799643489,0.48720934959585205,0.039645203144811
10,RBLX,2023-09-20,7124974,1.02754963980181,0.22847956569469502,0.023851388581785003
11,EA,2023-09-20,6835269,0.24436076166289802,0.08114526393221401,0.007125318700729
12,COIN,2023-09-20,5871612,0.161869684412963,0.020339267152702,0.001669075471855
13,AMZN,2023-09-20,5775761,1.2157609414717099,0.303092505645752,0.024816740580035003
14,INTC,2023-09-20,4921100,-0.027750318641106,-0.003230880553128,-0.004531301847088
15,MCD,2023-09-20,4783571,0.038124133685002004,0.033145224599162006,0.009617171752851001
16,BB,2023-09-20,3926077,-0.06165204573044201,-0.01438888495564,-0.002114024899646
17,DBX,2023-09-20,3781925,-0.15552497798203602,-0.031402709884687005,-0.009808856842508
18,TRIP,2023-09-20,3391935,-0.026644353003491,-0.007369881064855001,-0.005778078735751001
19,COKE,2023-09-20,3361280,-0.058306853419065004,-0.015200231067313,-0.006395963700678
20,MNST,2023-09-20,2990208,-0.06754162198147,-0.012907134836759001,-0.004748608022475001
21,ATVI,2023-09-20,2684136,0.525484952838928,0.151413503636832,0.009650218694812
22,HUBG,2023-09-20,2525387,0.237755304146181,0.074380525537831,0.0071281285058950004
23,ETSY,2023-09-20,2353126,-0.002252272351577,-0.001572351766532,-0.005609244715198001
24,RL,2023-09-20,2304013,0.027351074484793,0.0029514593447240002,-0.001779472182505
25,PINS,2023-09-20,2243855,-0.000445659609649,0.0020500853682210002,-0.009001553882093
26,LUV,2023-09-20,2142045,-0.022450135961005,-0.011949768029795001,-0.011389686452201
27,TGT,2023-09-20,2092571,-0.15144972312948202,-0.044184464646701005,-0.019589284374776
28,GPRO,2023-09-20,2037112,-0.06451052698968,-0.01722730670447,-0.008246289169877
29,NVDA,2023-09-20,2019595,0.5619152421687981,0.089305493675517,0.002030151211607
30,GME,2023-09-20,1876539,-0.129060482265764,-0.037927799745474,-0.01353372481675
31,JBLU,2023-09-20,1872341,-0.018315957203674002,-0.007743716107888001,-0.006034861203529001
32,DAL,2023-09-20,1654121,0.100274499172137,0.035560221658714,-0.007616758561446
33,BATRA,2023-09-20,1643926,0.365765430252107,0.094619245822502,0.004136610339822
34,AAL,2023-09-20,1642366,0.03319484889035,0.006941687390238001,-0.008462683523036
35,AIRT,2023-09-20,1642366,0.03319484889035,0.006941687390238001,-0.008462683523036
36,VZ,2023-09-20,1590677,-0.089378807863826,-0.023003778024854003,-0.011000394757021002
37,FL,2023-09-20,1577395,0.058294576003703004,0.0038672849250740004,-0.0017116535714560002
38,DPZ,2023-09-20,1511026,0.045618957888216,0.010192789329610001,-0.005426481760406001
39,F,2023-09-20,1481259,0.16066179677500803,0.053496633156968,0.0008776395008060001
40,TMUS,2023-09-20,1436651,-0.11985747805684,-0.031730413949693004,-0.018303113477913
41,FOXA,2023-09-20,1433298,-0.101828948276328,-0.026923645656917003,-0.012766126652530001
42,CMG,2023-09-20,1347248,-0.23245188231225702,-0.065498085868509,-0.019517465905660003
43,MMM,2023-09-20,1340199,-0.07605021998644501,-0.013429037608014002,-0.00096999579171
44,FNKO,2023-09-20,1246513,-0.15595213302789201,-0.049794168068551005,-0.020693455333820002
45,AMD,2023-09-20,1190415,2.09898948661253,0.7818452733707071,-0.012011174592085
46,UAL,2023-09-20,1183554,0.28087531423719403,0.031356096225176,-0.004900254475281
47,BBY,2023-09-20,1180996,-0.029542597632359002,-0.045280233866062,-0.015746938236449
48,HPQ,2023-09-20,1175175,-0.083577206463758,-0.014804113501609002,-0.008168328836499001
49,HPE,2023-09-20,1175175,-0.083577206463758,-0.014804113501609002,-0.008168328836499001
50,RACE,2023-09-20,1160063,0.872850590204566,0.23709971062428903,0.019313025342304002
51,HOOD,2023-09-20,1102085,0.063374635800128,-0.029480864651088002,-0.009889366118853
52,UBER,2023-09-20,1085489,0.021469588742184003,0.010503282275720002,-0.010040549079859
53,LGF.A,2023-09-20,1055279,-0.037890305670573006,-0.017054191588683,-0.010991145495287001
54,PYPL,2023-09-20,1033611,0.8117719118920791,0.135340152332764,0.011707902350299
55,GS,2023-09-20,1010660,0.37362275026864306,0.07802969089152301,0.006332896627325
56,BAC,2023-09-20,994301,-0.148526783024361,-0.022724370479632,-0.009754645524229002
57,UAA,2023-09-20,963860,0.029162113329572,0.012659042187812001,-0.0020749470888480003
58,LULU,2023-09-20,959129,-0.06480847636521901,-0.015428286094632001,-0.004900039200317
59,ADBE,2023-09-20,929873,0.6736310576180851,0.19967242085299203,0.022481240534211
60,C,2023-09-20,903810,-0.041694914879331,0.004979170470198,0.00044257285303200003
61,T,2023-09-20,903126,-0.036305113486689,-0.021144293752917,-0.015499310280697001
