,Ticker,Amount,Qtr,Year
194,IRM,3868565.6,2,2021
195,IRM,15199126.84,3,2021
196,IRM,14698063.8,4,2021
197,IRM,3118157.24,1,2022
198,IRM,10846889.32,2,2022
199,IRM,10772568.95,3,2022
200,IRM,37256729.53,4,2022
201,IRM,2967466.09,1,2023
202,IRM,9175901.65,2,2023
203,IRM,16147801.09,3,2023
204,IRM,17894373.31,4,2023
205,IRM,67333.58,1,2024
206,IRMD,240542.0,2,2020
207,IRMD,52431.6,3,2020
208,IRMD,530404.19,4,2020
209,IRMD,149157.5,1,2021
210,IRMD,175039.02,2,2021
211,IRMD,106758.46,3,2021
212,IRMD,4890.0,4,2021
213,IRMD,173637.06,2,2022
214,IRMD,16008.2,3,2022
215,IRMD,401616.85,4,2022
216,IRMD,100840.72,1,2023
217,IRMD,479880.75,2,2023
218,IRMD,13435.0,3,2023
219,IRMD,108771.95,4,2023
220,ISPC,1652725.23,3,2020
221,ISPO,9582052.63,3,2020
222,ISRG,12702408.08,2,2020
223,ISRG,1222031.2,3,2020
224,ISRG,22183408.06,4,2020
225,ISRG,3367579.0,1,2021
226,ISRG,12581233.7,2,2021
227,ISRG,24192076.26,3,2021
228,ISRG,23198984.55,4,2021
229,ISRG,6616807.0,1,2022
230,ISRG,5946746.97,2,2022
231,ISRG,11186580.19,3,2022
232,ISRG,55672254.87,4,2022
233,ISRG,8015287.83,1,2023
234,ISRG,12830064.0,2,2023
235,ISRG,25642435.0,3,2023
236,ISRG,7722700.09,4,2023
237,ISRG,982620.0,1,2024
238,ISUN,27464.4,3,2020
239,IT,39542382.32,2,2020
240,IT,37891905.82,3,2020
241,IT,43399038.42,4,2020
242,IT,11320509.71,1,2021
243,IT,50133784.46,2,2021
244,IT,31558208.39,3,2021
245,IT,47098294.07,4,2021
246,IT,11518585.46,1,2022
247,IT,51572501.44,2,2022
248,IT,31388298.16,3,2022
249,IT,53279878.2,4,2022
250,IT,18386056.75,1,2023
251,IT,47293918.31,2,2023
252,IT,41530939.24,3,2023
253,IT,52549206.48,4,2023
