,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party
277,Josh Gottheimer,2023-09-16,2023-08-18,LLY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
278,Josh Gottheimer,2023-09-16,2023-08-18,HSHCY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
279,Josh Gottheimer,2023-09-16,2023-08-18,DASTY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
280,Josh Gottheimer,2023-09-16,2023-08-14,GOOG,Purchase,"$1,001-$15,000",Representatives,1001.0,D
281,Josh Gottheimer,2023-09-16,2023-08-10,SHLS,Purchase,"$1,001-$15,000",Representatives,1001.0,D
282,Josh Gottheimer,2023-09-16,2023-08-10,NVDA,Sale,"$1,001-$15,000",Representatives,1001.0,D
283,Josh Gottheimer,2023-09-16,2023-08-10,SPXC,Sale,"$1,001-$15,000",Representatives,1001.0,D
284,Josh Gottheimer,2023-09-16,2023-08-10,FOXF,Purchase,"$1,001-$15,000",Representatives,1001.0,D
285,Josh Gottheimer,2023-09-16,2023-08-10,TPR,Sale,"$1,001-$15,000",Representatives,1001.0,D
286,Josh Gottheimer,2023-09-16,2023-08-07,AAPL,Sale,"$15,001-$50,000",Representatives,15001.0,D
287,Josh Gottheimer,2023-09-16,2023-08-07,NFLX,Purchase,"$1,001-$15,000",Representatives,1001.0,D
288,Seth Moulton,2023-09-15,2023-08-18,ATVI,Sale,"$500,001",Representatives,500001.0,D
289,Thomas H. Kean Jr.,2023-09-15,2023-08-04,LLYVK,Exchange,"$1,001-$15,000",Representatives,1001.0,R
290,Thomas H. Kean Jr.,2023-09-15,2023-08-04,LSXMA,Exchange,"$1,001-$15,000",Representatives,1001.0,R
291,Thomas H. Kean Jr.,2023-09-15,2023-08-04,LSXMK,Exchange,"$1,001-$15,000",Representatives,1001.0,R
292,Thomas H. Kean Jr.,2023-09-15,2023-08-04,LSXMA,Exchange,"$1,001-$15,000",Representatives,1001.0,R
293,Thomas H. Kean Jr.,2023-09-15,2023-08-04,LSXMK,Exchange,"$1,001-$15,000",Representatives,1001.0,R
294,Thomas H. Kean Jr.,2023-09-15,2023-08-04,LLYVA,Exchange,"$1,001-$15,000",Representatives,1001.0,R
295,Daniel Meuser,2023-09-14,2023-08-14,NVDA,Sale,"$15,001-$50,000",Representatives,15001.0,R
296,Daniel Meuser,2023-09-14,2023-08-14,NVDA,Sale,"$100,001-250,000",Representatives,100001.0,R
297,Daniel Meuser,2023-09-14,2023-08-14,NVDA,Sale,"$15,001-$50,000",Representatives,15001.0,R
298,Mark Warner,2023-09-12,2023-08-08,ROAD,Sale,"$250,001 - $500,000",Senate,250001.0,D
299,Jonathan Jackson,2023-09-11,2023-08-31,WCN,Sale,"$15,001-$50,000",Representatives,15001.0, 
300,Jonathan Jackson,2023-09-11,2023-08-31,TIMB,Purchase,"$15,001-$50,000",Representatives,15001.0, 
301,Suzan K. Delbene,2023-09-11,2023-08-31,MSFT,Sale,"$500,001",Representatives,500001.0,D
302,Suzan K. Delbene,2023-09-11,2023-08-30,MSFT,Sale,"$250,001-$1,000,000",Representatives,250001.0,D
303,Jonathan Jackson,2023-09-11,2023-08-29,NEE,Sale,"$1,001-$15,000",Representatives,1001.0, 
304,Jonathan Jackson,2023-09-11,2023-08-29,EME,Purchase,"$1,001-$15,000",Representatives,1001.0, 
305,Richard W. Allen,2023-09-08,2023-08-31,SCHW$D,Purchase,"$15,001-$50,000",Representatives,15001.0,R
306,Lloyd Doggett,2023-09-08,2023-08-16,PG,Purchase,"$1,001-$15,000",Representatives,1001.0,D
307,John Boozman,2023-09-07,2023-08-29,FEP,Sale,"$15,001 - $50,000",Senate,15001.0,R
308,John Boozman,2023-09-07,2023-08-29,BBEU,Purchase,"$15,001 - $50,000",Senate,15001.0,R
309,Kevin Hern,2023-09-07,2023-08-15,MMC,Purchase,"$1,001-$15,000",Representatives,1001.0,R
310,Kevin Hern,2023-09-07,2023-08-15,ACN,Purchase,"$1,001-$15,000",Representatives,1001.0,R
311,Kevin Hern,2023-09-07,2023-08-15,TXN,Purchase,"$1,001-$15,000",Representatives,1001.0,R
312,Kevin Hern,2023-09-07,2023-08-14,MMP,Purchase,"$1,001-$15,000",Representatives,1001.0,R
313,Kevin Hern,2023-09-07,2023-08-14,OKE,Purchase,"$1,001-$15,000",Representatives,1001.0,R
314,Earl Blumenauer,2023-09-06,2023-08-24,SYY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
315,Earl Blumenauer,2023-09-06,2023-08-23,SYY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
316,Michael C. Burgess,2023-09-06,2023-08-22,PRU,Purchase,"$15,001-$50,000",Representatives,15001.0,R
317,Michael C. Burgess,2023-09-06,2023-08-22,BBY,Purchase,"$15,001-$50,000",Representatives,15001.0,R
318,Michael C. Burgess,2023-09-06,2023-08-22,STLA,Purchase,"$15,001-$50,000",Representatives,15001.0,R
319,Earl Blumenauer,2023-09-06,2023-08-16,F,Sale,"$15,001-$50,000",Representatives,15001.0,D
320,Earl Blumenauer,2023-09-06,2023-08-15,NWN,Purchase,"$1,001-$15,000",Representatives,1001.0,D
321,Michael C. Burgess,2023-09-06,2023-08-14,GOOGL,Sale,"$15,001-$50,000",Representatives,15001.0,R
322,Michael C. Burgess,2023-09-06,2023-08-14,AMZN,Sale,"$15,001-$50,000",Representatives,15001.0,R
323,Michael C. Burgess,2023-09-06,2023-08-14,BRK.B,Sale,"$15,001-$50,000",Representatives,15001.0,R
324,Michael C. Burgess,2023-09-06,2023-08-09,UPS,Purchase,"$15,001-$50,000",Representatives,15001.0,R
325,Michael C. Burgess,2023-09-06,2023-08-09,RY,Purchase,"$15,001-$50,000",Representatives,15001.0,R
326,Michael C. Burgess,2023-09-06,2023-08-09,BX,Purchase,"$15,001-$50,000",Representatives,15001.0,R
327,Michael C. Burgess,2023-09-06,2023-08-09,AMD,Purchase,"$1,001-$15,000",Representatives,1001.0,R
328,Thomas R. Carper,2023-09-05,2023-08-29,SWKS,Sale,"$1,001 - $15,000",Senate,1001.0,D
329,Thomas R. Carper,2023-09-05,2023-08-29,CRWD,Sale,"$1,001 - $15,000",Senate,1001.0,D
330,Thomas R. Carper,2023-09-05,2023-08-29,NEE,Purchase,"$1,001 - $15,000",Senate,1001.0,D
331,Thomas R. Carper,2023-09-05,2023-08-29,RMD,Purchase,"$1,001 - $15,000",Senate,1001.0,D
332,Thomas R. Carper,2023-09-05,2023-08-29,AQN,Sale,"$1,001 - $15,000",Senate,1001.0,D
333,Thomas R. Carper,2023-09-05,2023-08-29,INOD,Purchase,"$1,001 - $15,000",Senate,1001.0,D
334,Thomas R. Carper,2023-09-05,2023-08-25,NTLA,Sale,"$1,001 - $15,000",Senate,1001.0,D
335,Thomas R. Carper,2023-09-05,2023-08-23,PSQ,Purchase,"$1,001 - $15,000",Senate,1001.0,D
336,Thomas R. Carper,2023-09-05,2023-08-23,PSQ,Purchase,"$1,001 - $15,000",Senate,1001.0,D
337,Thomas R. Carper,2023-09-05,2023-08-23,PSQ,Purchase,"$1,001 - $15,000",Senate,1001.0,D
338,Thomas R. Carper,2023-09-05,2023-08-22,MPW,Sale,"$1,001 - $15,000",Senate,1001.0,D
339,Thomas R. Carper,2023-09-05,2023-08-22,ROK,Purchase,"$1,001 - $15,000",Senate,1001.0,D
340,Thomas R. Carper,2023-09-05,2023-08-18,PSQ,Sale,"$1,001 - $15,000",Senate,1001.0,D
341,Thomas R. Carper,2023-09-05,2023-08-18,PSQ,Sale,"$1,001 - $15,000",Senate,1001.0,D
342,Thomas R. Carper,2023-09-05,2023-08-16,JHEM,Sale,"$1,001 - $15,000",Senate,1001.0,D
343,Thomas R. Carper,2023-09-05,2023-08-16,XCEM,Purchase,"$1,001 - $15,000",Senate,1001.0,D
344,Thomas R. Carper,2023-09-05,2023-08-16,JHEM,Sale,"$1,001 - $15,000",Senate,1001.0,D
345,Thomas R. Carper,2023-09-05,2023-08-15,BAH,Sale,"$1,001 - $15,000",Senate,1001.0,D
346,Thomas R. Carper,2023-09-05,2023-08-10,RMBS,Sale,"$1,001 - $15,000",Senate,1001.0,D
347,Thomas R. Carper,2023-09-05,2023-08-10,SOFI,Purchase,"$1,001 - $15,000",Senate,1001.0,D
348,Thomas R. Carper,2023-09-05,2023-08-04,FTNT,Sale,"$1,001 - $15,000",Senate,1001.0,D
349,Pete Sessions,2023-09-05,2023-09-05,AI,Sale,$314.30,Representatives,314.3,R
350,Pete Sessions,2023-09-05,2023-08-29,AGAE,Sale,"$1,000.00",Representatives,1000.0,R
351,Virginia Foxx,2023-09-05,2023-08-29,TAK,Sale,"$15,001-$50,000",Representatives,15001.0,R
352,Pete Sessions,2023-09-05,2023-08-21,MA,Sale,"$1,001-$15,000",Representatives,1001.0,R
353,Pete Sessions,2023-09-05,2023-08-18,KO,Sale,"$1,001-$15,000",Representatives,1001.0,R
354,Pete Sessions,2023-09-05,2023-08-18,DBRG,Sale,$189.48,Representatives,189.48,R
355,Pete Sessions,2023-09-05,2023-08-18,IBM,Sale,"$1,001-$15,000",Representatives,1001.0,R
356,Pete Sessions,2023-09-05,2023-08-18,WBD,Sale,$469.21,Representatives,469.21,R
357,Virginia Foxx,2023-09-05,2023-08-16,ARLP,Purchase,"$1,001-$15,000",Representatives,1001.0,R
358,Michael C. Burgess,2023-09-05,2023-08-14,ABBV,Sale,"$15,001-$50,000",Representatives,15001.0,R
359,Michael C. Burgess,2023-09-05,2023-08-09,CME,Purchase,"$15,001-$50,000",Representatives,15001.0,R
360,Michael C. Burgess,2023-09-05,2023-08-09,UPS,Purchase,"$15,001-$50,000",Representatives,15001.0,R
361,Michael C. Burgess,2023-09-05,2023-08-09,CC,Purchase,"$15,001-$50,000",Representatives,15001.0,R
362,Virginia Foxx,2023-09-05,2023-08-02,T,Purchase,"$1,001-$15,000",Representatives,1001.0,R
363,Lois Frankel,2023-08-26,2023-08-10,WTW,Sale,"$1,001-$15,000",Representatives,1001.0,D
364,Lois Frankel,2023-08-26,2023-08-10,KVUE,Purchase,"$1,001-$15,000",Representatives,1001.0,D
365,Lois Frankel,2023-08-26,2023-08-10,JNJ,Sale,"$1,001-$15,000",Representatives,1001.0,D
366,Lois Frankel,2023-08-26,2023-08-09,WTW,Sale,"$1,001-$15,000",Representatives,1001.0,D
367,Lois Frankel,2023-08-26,2023-08-09,IFF,Sale,"$1,001-$15,000",Representatives,1001.0,D
368,Lois Frankel,2023-08-26,2023-08-09,SHV,Purchase,"$1,001-$15,000",Representatives,1001.0,D
369,Lois Frankel,2023-08-26,2023-08-07,NSP,Sale,"$1,001-$15,000",Representatives,1001.0,D
370,Lois Frankel,2023-08-26,2023-08-07,SHV,Purchase,"$1,001-$15,000",Representatives,1001.0,D
371,Lois Frankel,2023-08-26,2023-08-04,SEDG,Sale,"$1,001-$15,000",Representatives,1001.0,D
372,Lois Frankel,2023-08-26,2023-08-04,LBRDK,Sale,"$1,001-$15,000",Representatives,1001.0,D
373,Lois Frankel,2023-08-26,2023-08-04,NSP,Sale,"$1,001-$15,000",Representatives,1001.0,D
374,Lois Frankel,2023-08-26,2023-08-04,FLR,Sale,"$1,001-$15,000",Representatives,1001.0,D
375,Lois Frankel,2023-08-26,2023-08-03,PLD,Purchase,"$1,001-$15,000",Representatives,1001.0,D
376,Lois Frankel,2023-08-26,2023-08-03,KVUE,Purchase,"$1,001-$15,000",Representatives,1001.0,D
377,Lois Frankel,2023-08-26,2023-08-02,TXN,Sale,"$1,001-$15,000",Representatives,1001.0,D
378,Lois Frankel,2023-08-26,2023-08-02,MRK,Sale,"$1,001-$15,000",Representatives,1001.0,D
379,Lois Frankel,2023-08-26,2023-08-02,KVUE,Purchase,"$1,001-$15,000",Representatives,1001.0,D
380,Lois Frankel,2023-08-26,2023-08-02,PLD,Purchase,"$1,001-$15,000",Representatives,1001.0,D
381,Lois Frankel,2023-08-26,2023-07-26,TGT,Purchase,"$1,001-$15,000",Representatives,1001.0,D
382,Lois Frankel,2023-08-26,2023-07-26,MS,Sale,"$1,001-$15,000",Representatives,1001.0,D
383,Gerald E. Connolly,2023-08-25,2023-08-15,D,Sale,"$1,001-$15,000",Representatives,1001.0,D
384,Gerald E. Connolly,2023-08-25,2023-08-15,SAIC,Sale,"$1,001-$15,000",Representatives,1001.0,D
385,Gerald E. Connolly,2023-08-25,2023-08-15,LDOS,Sale,"$1,001-$15,000",Representatives,1001.0,D
386,Michael Patrick Guest,2023-08-23,2023-08-09,PR,Purchase,"$1,001-$15,000",Representatives,1001.0,R
387,Michael Patrick Guest,2023-08-23,2023-08-07,GD,Purchase,"$1,001-$15,000",Representatives,1001.0,R
388,Michael Patrick Guest,2023-08-23,2023-08-07,ABNB,Purchase,"$1,001-$15,000",Representatives,1001.0,R
389,Michael Patrick Guest,2023-08-23,2023-08-07,JPM,Purchase,"$1,001-$15,000",Representatives,1001.0,R
390,Michael Patrick Guest,2023-08-23,2023-08-07,ABBV,Purchase,"$1,001-$15,000",Representatives,1001.0,R
391,Michael Patrick Guest,2023-08-23,2023-08-07,JNJ,Purchase,"$1,001-$15,000",Representatives,1001.0,R
392,Michael Patrick Guest,2023-08-23,2023-08-07,ELF,Purchase,"$1,001-$15,000",Representatives,1001.0,R
393,Michael Patrick Guest,2023-08-23,2023-08-07,WMT,Purchase,"$1,001-$15,000",Representatives,1001.0,R
394,Michael Patrick Guest,2023-08-23,2023-08-07,VLO,Purchase,"$1,001-$15,000",Representatives,1001.0,R
395,Michael Patrick Guest,2023-08-23,2023-08-07,XOM,Purchase,"$1,001-$15,000",Representatives,1001.0,R
396,Michael Patrick Guest,2023-08-23,2023-08-07,LNC,Purchase,"$1,001-$15,000",Representatives,1001.0,R
397,Michael Patrick Guest,2023-08-23,2023-08-07,AMZN,Purchase,"$1,001-$15,000",Representatives,1001.0,R
398,Michael Patrick Guest,2023-08-23,2023-08-07,TSLA,Purchase,"$1,001-$15,000",Representatives,1001.0,R
399,Michael Patrick Guest,2023-08-23,2023-08-07,CVX,Purchase,"$1,001-$15,000",Representatives,1001.0,R
400,Michael Patrick Guest,2023-08-23,2023-08-07,NVDA,Purchase,"$1,001-$15,000",Representatives,1001.0,R
401,Michael Patrick Guest,2023-08-23,2023-08-07,TSCO,Purchase,"$1,001-$15,000",Representatives,1001.0,R
402,Michael Patrick Guest,2023-08-23,2023-08-07,ORCL,Purchase,"$1,001-$15,000",Representatives,1001.0,R
403,Michael Patrick Guest,2023-08-23,2023-08-07,SWX,Purchase,"$1,001-$15,000",Representatives,1001.0,R
404,Michael Patrick Guest,2023-08-23,2023-08-07,NEE,Purchase,"$1,001-$15,000",Representatives,1001.0,R
405,Michael Patrick Guest,2023-08-23,2023-08-07,MSFT,Purchase,"$1,001-$15,000",Representatives,1001.0,R
406,Michael Patrick Guest,2023-08-23,2023-08-07,MCD,Purchase,"$1,001-$15,000",Representatives,1001.0,R
407,Michael Patrick Guest,2023-08-23,2023-08-07,MDT,Purchase,"$1,001-$15,000",Representatives,1001.0,R
408,Michael Patrick Guest,2023-08-23,2023-08-07,LOW,Purchase,"$1,001-$15,000",Representatives,1001.0,R
409,Michael Patrick Guest,2023-08-23,2023-08-07,ALL,Purchase,"$1,001-$15,000",Representatives,1001.0,R
410,Michael Patrick Guest,2023-08-23,2023-08-07,UBER,Purchase,"$1,001-$15,000",Representatives,1001.0,R
411,Michael Patrick Guest,2023-08-23,2023-08-07,AAPL,Purchase,"$1,001-$15,000",Representatives,1001.0,R
412,Michael Patrick Guest,2023-08-23,2023-08-04,CHRD,Purchase,"$15,001-$50,000",Representatives,15001.0,R
413,Michael Patrick Guest,2023-08-23,2023-08-01,KMI,Sale,"$15,001-$50,000",Representatives,15001.0,R
414,Michael Patrick Guest,2023-08-23,2023-08-01,WBD,Sale,"$1,001-$15,000",Representatives,1001.0,R
415,Michael Patrick Guest,2023-08-23,2023-08-01,T,Sale,"$1,001-$15,000",Representatives,1001.0,R
416,Michael Patrick Guest,2023-08-23,2023-08-01,T,Sale,"$1,001-$15,000",Representatives,1001.0,R
417,Victoria Spartz,2023-08-22,2023-08-03,SPG,Purchase,"$15,001-$50,000",Representatives,15001.0,R
418,Josh Gottheimer,2023-08-21,2023-07-27,ABBV,Sale,"$1,001-$15,000",Representatives,1001.0,D
419,Josh Gottheimer,2023-08-21,2023-07-25,FCX,Sale,"$1,001-$15,000",Representatives,1001.0,D
420,Josh Gottheimer,2023-08-21,2023-07-24,AMD,Purchase,"$1,001-$15,000",Representatives,1001.0,D
421,Josh Gottheimer,2023-08-21,2023-07-21,HLN,Purchase,"$1,001-$15,000",Representatives,1001.0,D
422,Josh Gottheimer,2023-08-21,2023-07-20,KUBTY,Sale,"$1,001-$15,000",Representatives,1001.0,D
423,Josh Gottheimer,2023-08-21,2023-07-20,HLN,Purchase,"$1,001-$15,000",Representatives,1001.0,D
424,Josh Gottheimer,2023-08-21,2023-07-20,GMAB,Purchase,"$1,001-$15,000",Representatives,1001.0,D
425,Josh Gottheimer,2023-08-21,2023-07-20,AAGIY,Sale,"$1,001-$15,000",Representatives,1001.0,D
426,Josh Gottheimer,2023-08-21,2023-07-19,SAP,Purchase,"$1,001-$15,000",Representatives,1001.0,D
427,Josh Gottheimer,2023-08-21,2023-07-19,KUBTY,Sale,"$1,001-$15,000",Representatives,1001.0,D
428,Josh Gottheimer,2023-08-21,2023-07-19,HLN,Purchase,"$1,001-$15,000",Representatives,1001.0,D
429,Josh Gottheimer,2023-08-21,2023-07-19,GMAB,Purchase,"$1,001-$15,000",Representatives,1001.0,D
430,Josh Gottheimer,2023-08-21,2023-07-19,AAGIY,Sale,"$1,001-$15,000",Representatives,1001.0,D
431,Josh Gottheimer,2023-08-21,2023-07-19,ADYEY,Sale,"$1,001-$15,000",Representatives,1001.0,D
432,Josh Gottheimer,2023-08-21,2023-07-18,SBUX,Sale,"$1,001-$15,000",Representatives,1001.0,D
433,Josh Gottheimer,2023-08-21,2023-07-18,TSLA,Sale,"$1,001-$15,000",Representatives,1001.0,D
434,Josh Gottheimer,2023-08-21,2023-07-18,UBER,Sale,"$1,001-$15,000",Representatives,1001.0,D
435,Josh Gottheimer,2023-08-21,2023-07-18,TXN,Sale,"$1,001-$15,000",Representatives,1001.0,D
436,Josh Gottheimer,2023-08-21,2023-07-18,MSFT,Sale,"$1,001-$15,000",Representatives,1001.0,D
437,Josh Gottheimer,2023-08-21,2023-07-18,NVDA,Sale,"$1,001-$15,000",Representatives,1001.0,D
438,Josh Gottheimer,2023-08-21,2023-07-18,ORCL,Sale,"$1,001-$15,000",Representatives,1001.0,D
439,Josh Gottheimer,2023-08-21,2023-07-18,META,Sale,"$1,001-$15,000",Representatives,1001.0,D
440,Josh Gottheimer,2023-08-21,2023-07-18,IFNNY,Sale,"$1,001-$15,000",Representatives,1001.0,D
441,Josh Gottheimer,2023-08-21,2023-07-18,LAD,Sale,"$1,001-$15,000",Representatives,1001.0,D
442,Josh Gottheimer,2023-08-21,2023-07-18,HLIO,Sale,"$1,001-$15,000",Representatives,1001.0,D
443,Josh Gottheimer,2023-08-21,2023-07-18,LOW,Sale,"$1,001-$15,000",Representatives,1001.0,D
444,Josh Gottheimer,2023-08-21,2023-07-18,HCA,Sale,"$1,001-$15,000",Representatives,1001.0,D
445,Josh Gottheimer,2023-08-21,2023-07-18,MCK,Sale,"$1,001-$15,000",Representatives,1001.0,D
446,Josh Gottheimer,2023-08-21,2023-07-18,SCHW,Sale,"$1,001-$15,000",Representatives,1001.0,D
447,Josh Gottheimer,2023-08-21,2023-07-18,MELI,Sale,"$1,001-$15,000",Representatives,1001.0,D
448,Josh Gottheimer,2023-08-21,2023-07-18,ADYEY,Sale,"$1,001-$15,000",Representatives,1001.0,D
449,Josh Gottheimer,2023-08-21,2023-07-18,GOOG,Sale,"$1,001-$15,000",Representatives,1001.0,D
450,Josh Gottheimer,2023-08-21,2023-07-18,AAPL,Sale,"$1,001-$15,000",Representatives,1001.0,D
451,Josh Gottheimer,2023-08-21,2023-07-18,ATLKY,Sale,"$1,001-$15,000",Representatives,1001.0,D
452,Josh Gottheimer,2023-08-21,2023-07-17,TXN,Purchase,"$1,001-$15,000",Representatives,1001.0,D
453,Josh Gottheimer,2023-08-21,2023-07-14,SRPT,Purchase,"$1,001-$15,000",Representatives,1001.0,D
454,Josh Gottheimer,2023-08-21,2023-07-14,SPXC,Sale,"$1,001-$15,000",Representatives,1001.0,D
455,Josh Gottheimer,2023-08-21,2023-07-14,PTEN,Purchase,"$1,001-$15,000",Representatives,1001.0,D
456,Josh Gottheimer,2023-08-21,2023-07-14,HMN,Purchase,"$1,001-$15,000",Representatives,1001.0,D
457,Josh Gottheimer,2023-08-21,2023-07-14,HSHCY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
458,Josh Gottheimer,2023-08-21,2023-07-14,D,Purchase,"$1,001-$15,000",Representatives,1001.0,D
459,Josh Gottheimer,2023-08-21,2023-07-14,FSLR,Purchase,"$1,001-$15,000",Representatives,1001.0,D
460,Josh Gottheimer,2023-08-21,2023-07-14,CSPCY,Purchase,"$1,001-$15,000",Representatives,1001.0,D
461,Josh Gottheimer,2023-08-21,2023-07-14,GTLS,Purchase,"$1,001-$15,000",Representatives,1001.0,D
462,Josh Gottheimer,2023-08-21,2023-07-14,AORT,Purchase,"$1,001-$15,000",Representatives,1001.0,D
463,Josh Gottheimer,2023-08-21,2023-07-14,AZTA,Purchase,"$1,001-$15,000",Representatives,1001.0,D
464,Josh Gottheimer,2023-08-21,2023-07-13,TSLA,Purchase,"$1,001-$15,000",Representatives,1001.0,D
465,Josh Gottheimer,2023-08-21,2023-07-13,SPOT,Purchase,"$1,001-$15,000",Representatives,1001.0,D
466,Josh Gottheimer,2023-08-21,2023-07-13,META,Purchase,"$1,001-$15,000",Representatives,1001.0,D
467,Pete Sessions,2023-08-17,2023-08-15,ARCC,Purchase,$155.92,Representatives,155.92,R
468,Pete Sessions,2023-08-17,2023-07-28,KD,Sale,$163.20,Representatives,163.2,R
469,Kevin Hern,2023-08-16,2023-07-31,JPM,Purchase,"$1,001-$15,000",Representatives,1001.0,R
470,Tommy Tuberville,2023-08-14,2023-07-27,CCL,Sale,"$1,001 - $15,000",Senate,1001.0,R
471,Tommy Tuberville,2023-08-14,2023-07-25,MMM,Purchase,"$1,001 - $15,000",Senate,1001.0,R
472,Tommy Tuberville,2023-08-14,2023-07-25,CLF,Sale,"$1,001 - $15,000",Senate,1001.0,R
473,Tommy Tuberville,2023-08-14,2023-07-25,UAA,Purchase,"$1,001 - $15,000",Senate,1001.0,R
474,Tommy Tuberville,2023-08-14,2023-07-25,HUMA,Purchase,"$1,001 - $15,000",Senate,1001.0,R
475,Tommy Tuberville,2023-08-14,2023-07-25,FGBI,Purchase,"$1,001 - $15,000",Senate,1001.0,R
476,Tommy Tuberville,2023-08-14,2023-07-25,WBA,Purchase,"$1,001 - $15,000",Senate,1001.0,R
477,Tommy Tuberville,2023-08-14,2023-07-25,HUMA,Purchase,"$1,001 - $15,000",Senate,1001.0,R
478,Tommy Tuberville,2023-08-14,2023-07-25,KEY,Purchase,"$1,001 - $15,000",Senate,1001.0,R
479,Tommy Tuberville,2023-08-14,2023-07-25,HUMA,Purchase,"$1,001 - $15,000",Senate,1001.0,R
480,Tommy Tuberville,2023-08-14,2023-07-25,VZ,Purchase,"$1,001 - $15,000",Senate,1001.0,R
481,Tommy Tuberville,2023-08-14,2023-07-25,PFE,Purchase,"$1,001 - $15,000",Senate,1001.0,R
482,Tommy Tuberville,2023-08-14,2023-07-25,FGBI,Purchase,"$1,001 - $15,000",Senate,1001.0,R
483,Tommy Tuberville,2023-08-14,2023-07-24,PG,Sale,"$1,001 - $15,000",Senate,1001.0,R
484,Tommy Tuberville,2023-08-14,2023-07-24,CLF,Purchase,"$50,001 - $100,000",Senate,50001.0,R
485,Tommy Tuberville,2023-08-14,2023-07-19,TXN,Sale,"$1,001 - $15,000",Senate,1001.0,R
486,Tommy Tuberville,2023-08-14,2023-07-13,LPX,Sale,"$1,001 - $15,000",Senate,1001.0,R
487,Daniel Goldman,2023-08-13,2023-07-19,NOC,Sale,"$15,001-$50,000",Representatives,15001.0,D
488,Thomas H. Kean Jr.,2023-08-13,2023-07-19,BATRK,Exchange,"$1,001-$15,000",Representatives,1001.0,R
489,Daniel Goldman,2023-08-13,2023-07-14,COIN,Sale,"$1,001-$15,000",Representatives,1001.0,D
490,Daniel Goldman,2023-08-13,2023-07-14,KO,Sale,"$1,001-$15,000",Representatives,1001.0,D
491,Daniel Goldman,2023-08-13,2023-07-14,T,Sale,"$1,001-$15,000",Representatives,1001.0,D
492,Daniel Goldman,2023-08-13,2023-07-14,TMUS,Sale,"$1,001-$15,000",Representatives,1001.0,D
493,Daniel Goldman,2023-08-13,2023-07-14,TEL,Sale,"$1,001-$15,000",Representatives,1001.0,D
494,Daniel Goldman,2023-08-13,2023-07-14,THO,Sale,"$1,001-$15,000",Representatives,1001.0,D
495,Daniel Goldman,2023-08-13,2023-07-14,TSN,Sale,"$1,001-$15,000",Representatives,1001.0,D
496,Daniel Goldman,2023-08-13,2023-07-14,VTR,Sale,"$1,001-$15,000",Representatives,1001.0,D
497,Daniel Goldman,2023-08-13,2023-07-14,PLD,Sale,"$1,001-$15,000",Representatives,1001.0,D
498,Daniel Goldman,2023-08-13,2023-07-14,ABBV,Sale,"$1,001-$15,000",Representatives,1001.0,D
499,Daniel Goldman,2023-08-13,2023-07-14,MRK,Sale,"$1,001-$15,000",Representatives,1001.0,D
500,Daniel Goldman,2023-08-13,2023-07-14,JNJ,Sale,"$1,001-$15,000",Representatives,1001.0,D
501,Daniel Goldman,2023-08-13,2023-07-14,APTV,Sale,"$1,001-$15,000",Representatives,1001.0,D
502,Daniel Goldman,2023-08-13,2023-07-14,F,Sale,"$1,001-$15,000",Representatives,1001.0,D
503,Daniel Goldman,2023-08-13,2023-07-14,MO,Sale,"$1,001-$15,000",Representatives,1001.0,D
504,Daniel Goldman,2023-08-13,2023-07-14,DAR,Sale,"$1,001-$15,000",Representatives,1001.0,D
505,Daniel Goldman,2023-08-13,2023-07-14,ZTS,Sale,"$1,001-$15,000",Representatives,1001.0,D
506,Daniel Goldman,2023-08-13,2023-07-12,URI,Sale,"$1,001-$15,000",Representatives,1001.0,D
507,Daniel Goldman,2023-08-13,2023-07-12,UNH,Sale,"$15,001-$50,000",Representatives,15001.0,D
508,Daniel Goldman,2023-08-13,2023-07-12,USB,Sale,"$15,001-$50,000",Representatives,15001.0,D
509,Daniel Goldman,2023-08-13,2023-07-12,UDR,Sale,"$1,001-$15,000",Representatives,1001.0,D
510,Daniel Goldman,2023-08-13,2023-07-12,EQIX,Sale,"$50,001-$100,000",Representatives,50001.0,D
511,Daniel Goldman,2023-08-13,2023-07-12,FERG,Sale,"$1,001-$15,000",Representatives,1001.0,D
512,Daniel Goldman,2023-08-13,2023-07-12,UPS,Sale,"$1,001-$15,000",Representatives,1001.0,D
513,Daniel Goldman,2023-08-13,2023-07-12,UE,Sale,"$1,001-$15,000",Representatives,1001.0,D
514,Daniel Goldman,2023-08-13,2023-07-12,KO,Sale,"$15,001-$50,000",Representatives,15001.0,D
515,Daniel Goldman,2023-08-13,2023-07-12,ADC,Sale,"$1,001-$15,000",Representatives,1001.0,D
516,Daniel Goldman,2023-08-13,2023-07-12,TMUS,Sale,"$15,001-$50,000",Representatives,15001.0,D
517,Daniel Goldman,2023-08-13,2023-07-12,EQR,Sale,"$50,001-$100,000",Representatives,50001.0,D
518,Daniel Goldman,2023-08-13,2023-07-12,TRIP,Sale,"$1,001-$15,000",Representatives,1001.0,D
519,Jonathan Jackson,2023-08-09,2023-07-31,LIN,Purchase,"$15,001-$50,000",Representatives,15001.0, 
