,Date,Ticker,Weekly Views,pct_change_month,pct_change_week
0,2023-10-16,DIS,32256,305.531807895399,369.178181818182
1,2023-10-16,AAPL,26375,-30.5994105883591,-10.4262183732382
2,2023-10-16,MANU,24588,20.9682180458526,-20.6787534679657
3,2023-10-16,WFC,14799,163.655799037948,202.947799385875
4,2023-10-16,META,14522,-80.4296264352326,3.05137666761284
5,2023-10-16,NKE,14318,25.684691011236,17.649958915365602
6,2023-10-16,HEES,14169,0.51074696743989,-0.24640946212334303
7,2023-10-16,BLK,13072,7.02472572457835,-1.69950368476462
8,2023-10-16,TSLA,12819,-9.38074367312315,14.6601073345259
9,2023-10-16,PINS,12730,43.0176384675879,0.42600189334174304
10,2023-10-16,WMT,12475,-77.2283372579085,-69.0531120537818
11,2023-10-16,TWOA,10458,0.23001725129385703,3.08526367668802
12,2023-10-16,PFIN,9979,24.7063234191452,7.40501560650091
13,2023-10-16,COKE,9478,195.910084295973,139.827935222672
14,2023-10-16,WWE,9471,-48.5019846664129,-7.79789719626168
15,2023-10-16,UBER,9155,95.160946493285,-11.2973549074702
16,2023-10-16,JJSF,8863,-7.35862861921187,-5.41088580576308
17,2023-10-16,GEEX,8289,45.0901452826886,-5.33348560986752
18,2023-10-16,TMUS,7997,-21.2428599566673,89.6371828313967
19,2023-10-16,QSR,7942,93.5185185185185,21.1594202898551
20,2023-10-16,FVRR,7740,19.2236598890943,18.0417874027757
21,2023-10-16,F,7727,-7.03801732435033,9.88339021615472
22,2023-10-16,BGS,7480,-7.23055934515689,-16.9165833611019
23,2023-10-16,DG,7291,15.9325806964541,6.74963396778916
24,2023-10-16,SPOT,6938,6.05319474166921,11.9212776254235
25,2023-10-16,VZ,6797,25.4753553627469,4.26445773891702
26,2023-10-16,NEWR,6674,1.0905786125416501,2.25218323885399
27,2023-10-16,DLTR,6673,71.4983294782832,3.20136096504795
28,2023-10-16,STLA,6484,-85.6716681766955,-0.8411072029362311
29,2023-10-16,PYPL,6483,-32.825613926018,-5.74294853154987
30,2023-10-16,IBM,6211,16.1803217358773,16.0717622874229
31,2023-10-16,SNPO,6148,-18.5587495032455,3.27565933142953
32,2023-10-16,ABNB,5894,-11.4083871937472,-11.8456476218965
33,2023-10-16,ETSY,5700,34.0545625587959,62.9502572898799
34,2023-10-16,ISAA,5680,43.4705733771154,35.6579890136136
35,2023-10-16,MMYT,5585,-5.46716316858497,12.0136381869234
36,2023-10-16,TETE,5519,-7.13444388356049,-1.18173679498658
37,2023-10-16,GOOG,5222,-5.17523152351552,11.2247071352503
38,2023-10-16,GOOGL,5222,-5.17523152351552,11.2247071352503
39,2023-10-16,GM,5102,-36.7233039811485,-9.69911504424779
40,2023-10-16,MTRX,4999,-13.8697450034459,-44.220040169605
41,2023-10-16,AVO,4646,101.212646167172,3.79803395889187
42,2023-10-16,RACE,4361,-4.02728873239436,21.2062256809338
43,2023-10-16,PG,4277,18.378079158594,9.92032896427652
44,2023-10-16,MCN,4247,-29.8480343574496,-62.0905114701419
45,2023-10-16,BRK.A,4044,-7.45995423340962,5.69785676947203
46,2023-10-16,BRK.B,4044,-7.45995423340962,5.69785676947203
47,2023-10-16,SHOP,3945,1.57054582904221,10.5971404541632
48,2023-10-16,DASH,3685,39.2668178382464,-22.322934232715
49,2023-10-16,PGRE,3634,11.5408225905463,7.41945019213717
50,2023-10-16,RELI,3595,3.06766055045871,3.3342914630641
51,2023-10-16,PZZA,3515,107.865168539326,28.1443674808604
52,2023-10-16,DNUT,3509,255.521783181358,246.39684106614
53,2023-10-16,AAL,3442,-22.4949335735195,-5.2051776370146
54,2023-10-16,TGAA,3392,2.26107928851371,-3.88211958061774
55,2023-10-16,IMTE,3323,8.41761827079934,1.15677321156773
56,2023-10-16,GGPI,3308,-15.6767779760387,-38.1797794804709
57,2023-10-16,GE,3263,-22.0496894409938,3.39036755386566
58,2023-10-16,MAT,3182,-34.4052772624201,33.9225589225589
59,2023-10-16,BATRA,3131,30.6761268781302,-31.6076889471385
60,2023-10-16,CPSI,3129,-21.3028169014084,-12.7683300808475
61,2023-10-16,HUN,3086,1853.16455696203,1985.13513513513
62,2023-10-16,LULU,3078,-10.3930131004367,-10.3669190448457
63,2023-10-16,ADBE,2987,4.51364590622814,6.22332859174966
64,2023-10-16,TKO,2964,-56.3989408649603,27.5936289281102
65,2023-10-16,RIVN,2950,-9.06288532675709,-21.1018989034501
66,2023-10-16,ZM,2866,-24.6384433342098,-16.3943990665111
67,2023-10-16,WBD,2801,-1.23413258110014,9.62818003913894
68,2023-10-16,MCAA,2785,-4.06476059249052,3.64719017491626
69,2023-10-16,CAKE,2773,86.2323707186031,106.324404761905
70,2023-10-16,WTI,2744,-9.34919061777337,-5.70446735395189
71,2023-10-16,WLFC,2701,-25.8781558726674,-7.11829436038515
72,2023-10-16,MDLZ,2660,26.9689737470167,25.2354048964218
73,2023-10-16,GPS,2584,5.81490581490582,7.57701915070774
74,2023-10-16,GAME,2555,-83.4456394972139,-21.505376344086
75,2023-10-16,EDR,2510,-35.2258064516129,43.7571592210767
76,2023-10-16,RTX,2509,56.1294337274424,-11.6860260471665
77,2023-10-16,EA,2508,-22.1601489757914,-0.5551149881046771
78,2023-10-16,UDMY,2490,19.6540124939933,16.9563175199624
79,2023-10-16,JNJ,2489,-7.29981378026071,0.443906376109759
80,2023-10-16,GME,2482,2.98755186721991,-31.322634200332
81,2023-10-16,OXY,2477,266.962962962963,116.331877729258
82,2023-10-16,GDDY,2431,3.18336162988115,-1.77777777777778
